problem_id,submission_id,technique,bleu_score,explicit_jaccard,implicit_structural,fusion_semantic_score,h_obfuscated,h_deobfuscated,delta_entropy,halstead_effort_gt,halstead_effort_obf,halstead_effort_rec,readability_improvement_pct,testcase_pass_rate,binary_size_reduction_pct
p00008,s178043981,bcf,0.944731402712006,0.8181818181818182,1.0,0.9272727272727272,4.7186290424841015,4.507868203606028,0.2107608388780733,124773.40289069178,118386.80372542271,124773.40289069178,-5.39468839794143,100.0,-11.246537396121884
p00008,s178043981,bcf_instsub,0.944731402712006,0.8181818181818182,1.0,0.9272727272727272,4.876312804985779,4.507868203606028,0.36844460137975066,124773.40289069178,136291.7878384307,124773.40289069178,8.451268510318151,100.0,-11.301939058171746
p00008,s178043981,fla,0.944731402712006,0.8181818181818182,1.0,0.9272727272727272,4.777880970679644,4.507868203606028,0.27001276707361566,124773.40289069178,156222.60695076844,124773.40289069178,20.131019878568203,100.0,-11.246537396121884
p00008,s178043981,fla_bcf,0.944731402712006,0.8181818181818182,1.0,0.9272727272727272,4.935700303834707,4.507868203606028,0.4278321002286791,124773.40289069178,157572.21352845285,124773.40289069178,20.815097981623882,100.0,13.293051359516618
p00008,s178043981,fla_bcf_instsub,0.944731402712006,0.8181818181818182,1.0,0.9272727272727272,5.056881810530297,4.507868203606028,0.5490136069242686,124773.40289069178,183814.56398134044,124773.40289069178,32.11995818603476,100.0,28.950159066808055
p00008,s178043981,fla_instsub,0.944731402712006,0.8181818181818182,1.0,0.9272727272727272,4.93682444005031,4.507868203606028,0.4289562364442814,124773.40289069178,177397.47568807844,124773.40289069178,29.664499223155026,100.0,-11.301939058171746
p00008,s178043981,instsub,0.944731402712006,0.8181818181818182,1.0,0.9272727272727272,4.7220376137450435,4.507868203606028,0.21416941013901525,124773.40289069178,133017.69629842587,124773.40289069178,6.19789218814764,100.0,-11.301939058171746
p00009,s308363767,bcf,0.9553870123993266,0.9333333333333333,1.0,0.9733333333333334,5.264589877119814,5.164558171910942,0.10003170520887217,206442.30769230766,225561.7277483806,206442.30769230766,8.476358222171937,100.0,-12.71420674405749
p00009,s308363767,bcf_instsub,0.9553870123993266,0.9333333333333333,1.0,0.9733333333333334,5.337655469241628,5.164558171910942,0.17309729733068568,206442.30769230766,253561.22428706812,206442.30769230766,18.58285576875706,100.0,-12.769485903814262
p00009,s308363767,fla,0.9553870123993266,0.9333333333333333,1.0,0.9733333333333334,5.321882104980432,5.164558171910942,0.15732393306949,206442.30769230766,269855.88751407707,206442.30769230766,23.49905366376764,100.0,-12.71420674405749
